"Cena";"Waluta";"Cena.w.PLN";"KM";"kW";"Marka";"Model";"Wersja";"Liczba.drzwi";"Pojemnosc.skokowa";"Przebieg.w.km";"Rodzaj.paliwa";"Rok.produkcji";"Kolor";"Kraj.aktualnej.rejestracji";"Kraj.pochodzenia";"Skrzynia.biegow"
2500;"PLN";2500;130;96;"Renault";"Laguna";"II FL";"";1870;NA;"olej napedowy (diesel)";2006;"";"";"";""
9900;"PLN";9900;75;55;"Opel";"Astra";"II";"4/5";1598;NA;"benzyna";2000;"srebrny-metallic";"Niemcy";"Niemcy";"manualna"
7900;"PLN";7900;NA;NA;"Ford";"Fiesta";"Mk5";"2/3";1800;160000;"olej napedowy (diesel)";2002;"srebrny-metallic";"Polska";"Niemcy";"manualna"
8300;"PLN";8300;NA;NA;"Opel";"Astra";"II";"";NA;180000;"olej napedowy (diesel)";2000;"granatowy-metallic";"";"";""
35900;"PLN";35900;100;74;"Ford";"Focus";"Mk3";"4/5";1596;25000;"benzyna";2010;"czarny-metallic";"Polska";"";"manualna"
11900;"PLN";11900;98;72;"Renault";"Scenic";"I";"4/5";1870;167000;"olej napedowy (diesel)";2000;"granatowy-metallic";"";"Holandia";"manualna"
102000;"CZK";17452,2;NA;NA;"Renault";"Kangoo";"";"4/5";1498;98346;"olej napedowy (diesel)";2008;"niebieski";"";"Francja";""
1600;"PLN";1600;122;90;"Opel";"Omega";"A";"4/5";1998;NA;"benzyna+LPG";1990;"bordowy-metallic";"";"";"manualna"
189000;"CZK";32337,9;116;85;"Opel";"Frontera";"";"2/3";2171;99789;"olej napedowy (diesel)";2004;"niebieski-metallic";"";"Niemcy";"manualna"
3800;"PLN";3800;136;100;"Opel";"Frontera";"A";"4/5";2198;221000;"benzyna";1995;"";"";"Niemcy";"manualna"
11999;"PLN";11999;115;85;"Opel";"Astra";"II";"2/3";1800;161000;"benzyna";1999;"srebrny-metallic";"";"Niemcy";"manualna"
17500;"PLN";17500;120;88;"Renault";"Scenic";"II";"4/5";1900;140000;"olej napedowy (diesel)";2004;"szary-metallic";"";"";"manualna"
29900;"PLN";29900;150;110;"Opel";"Zafira";"B";"4/5";1900;158000;"olej napedowy (diesel)";2006;"srebrny-metallic";"";"Niemcy";"manualna"
13900;"PLN";13900;101;74;"Renault";"Scenic";"I";"4/5";1870;178400;"olej napedowy (diesel)";2003;"szary-metallic";"";"";"manualna"
13900;"PLN";13900;70;51;"Opel";"Corsa";"C";"2/3";1248;169000;"olej napedowy (diesel)";2006;"";"";"Polska";"manualna"
10300;"PLN";10300;NA;NA;"Renault";"Laguna";"II";"4/5";2000;NA;"benzyna";2002;"bordowy-metallic";"Polska";"";"manualna"
22900;"PLN";22900;NA;NA;"Renault";"Clio";"III";"2/3";1200;54000;"benzyna";2005;"srebrny-metallic";"";"";"manualna"
10900;"PLN";10900;75;55;"Opel";"Astra";"II";"4/5";1595;78000;"benzyna";1998;"srebrny-metallic";"Polska";"Niemcy";"manualna"
20900;"PLN";20900;68;50;"Renault";"Clio";"III";"4/5";1461;78000;"olej napedowy (diesel)";2006;"srebrny-metallic";"Polska";"Francja";"manualna"
8900;"PLN";8900;90;66;"Renault";"Megane";"I";"2/3";1598;154800;"benzyna";1998;"zielony-metallic";"Niemcy";"Niemcy";"manualna"
29900;"PLN";29900;70;51;"Ford";"Fiesta";"";"2/3";1399;38000;"olej napedowy (diesel)";2009;"czarny-metallic";"";"";"manualna"
5600;"EUR";24734,08;130;96;"Ford";"Mondeo";"Mk3";"4/5";1998;134000;"olej napedowy (diesel)";2005;"zielony-metallic";"";"Belgia";"manualna"
13900;"PLN";13900;65;48;"Renault";"Kangoo";"II";"4/5";1461;168000;"olej napedowy (diesel)";2004;"niebieski";"Polska";"Polska";"manualna"
32900;"PLN";32900;100;74;"Opel";"Vivaro";"";"4/5";1900;156000;"olej napedowy (diesel)";2007;"bialy";"";"Holandia";"manualna"
16900;"PLN";16900;68;50;"Ford";"Fiesta";"Mk6";"4/5";1400;99000;"olej napedowy (diesel)";2006;"srebrny-metallic";"Polska";"";"manualna"
8600;"PLN";8600;100;74;"Opel";"Astra";"II";"4/5";1995;197900;"olej napedowy (diesel)";2000;"srebrny-metallic";"Niemcy";"Niemcy";"manualna"
3550;"PLN";3550;NA;NA;"Opel";"Vectra";"B";"4/5";1800;106000;"benzyna";1996;"zielony-metallic";"";"Niemcy";"manualna"
11777;"PLN";11777;120;88;"Renault";"Laguna";"II";"4/5";NA;204000;"olej napedowy (diesel)";2001;"bordowy-metallic";"Polska";"Niemcy";"manualna"
14600;"PLN";14600;120;88;"Renault";"Laguna";"II";"4/5";1870;182000;"olej napedowy (diesel)";2003;"";"";"";"manualna"
670;"PLN";670;116;85;"Ford";"Galaxy";"Mk1";"4/5";1900;NA;"benzyna";1996;"niebieski";"";"";"manualna"
10900;"PLN";10900;NA;NA;"Renault";"Clio";"II";"4/5";1500;172000;"olej napedowy (diesel)";2001;"bialy";"";"Francja";"manualna"
14200;"PLN";14200;101;74;"Opel";"Astra";"II";"4/5";1995;152600;"olej napedowy (diesel)";2001;"granatowy-metallic";"Niemcy";"Niemcy";"manualna"
219900;"CZK";37624,89;131;96;"Renault";"Espace";"";"4/5";1995;166743;"olej napedowy (diesel)";2007;"szary-metallic";"";"Belgia";""
8400;"PLN";8400;75;55;"Opel";"Corsa";"C";"2/3";1199;165000;"benzyna+LPG";2002;"bialy";"Polska";"";"manualna"
25499;"CZK";4362,8789;90;66;"Ford";"Mondeo";"";"4/5";1753;95000;"olej napedowy (diesel)";1998;"niebieski";"";"";"manualna"
11900;"PLN";11900;NA;NA;"Ford";"Mondeo";"Mk3";"4/5";1800;187000;"benzyna";2001;"srebrny-metallic";"";"Niemcy";"manualna"
11900;"PLN";11900;110;81;"Renault";"Laguna";"I";"4/5";1598;239000;"benzyna+LPG";2000;"granatowy-metallic";"Polska";"Niemcy";"manualna"
39900;"PLN";39900;95;70;"Opel";"Corsa";"D";"4/5";1300;30500;"olej napedowy (diesel)";2010;"srebrny-metallic";"";"";"manualna"
3500;"EUR";15458,8;125;92;"Opel";"Astra";"III";"4/5";1686;90000;"olej napedowy (diesel)";2008;"czerwony-metallic";"";"";"manualna"
180000;"CZK";30798;111;82;"Renault";"Scenic";"";"4/5";1598;113000;"benzyna";2006;"srebrny-metallic";"";"Wlochy";"automatyczna"
2230;"EUR";9849,464;NA;NA;"Renault";"Scenic RX4";"";"4/5";1900;NA;"olej napedowy (diesel)";2002;"";"";"";"manualna"
13900;"PLN";13900;75;55;"Opel";"Corsa";"C";"4/5";1199;184000;"benzyna+LPG";2003;"wilniowy";"Polska";"Polska";"manualna"
27900;"PLN";27900;68;50;"Ford";"Fusion";"";"4/5";1400;28000;"olej napedowy (diesel)";2009;"";"Polska";"Francja";"manualna"
15900;"PLN";15900;110;81;"Renault";"Laguna";"II";"4/5";1598;187000;"benzyna";2004;"szary-metallic";"Niemcy";"Niemcy";"manualna"
14000;"PLN";14000;NA;NA;"Renault";"Modus";"";"4/5";1200;84000;"benzyna";2005;"";"";"";"manualna"
130000;"CZK";22243;69;51;"Ford";"Fiesta";"";"4/5";1299;65634;"benzyna";2008;"bialy";"";"Czechy";"manualna"
3999;"PLN";3999;90;66;"Opel";"Tigra";"I";"2/3";1389;137000;"benzyna";1995;"fioletowy-metallic";"";"Niemcy";"manualna"
20900;"PLN";20900;109;80;"Ford";"Focus";"Mk2";"4/5";1560;NA;"olej napedowy (diesel)";2005;"grafitowy-metallic";"";"";"manualna"
39900;"PLN";39900;150;110;"Opel";"Vectra";"C";"4/5";1900;105000;"olej napedowy (diesel)";2008;"czarny-metallic";"Polska";"Polska";"manualna"
1900;"PLN";1900;90;66;"Ford";"Escort";"Mk7";"4/5";1597;98704;"benzyna";1998;"zielony-metallic";"Niemcy";"Niemcy";"manualna"
58900;"PLN";58900;110;81;"Renault";"Fluence";"";"4/5";1598;NA;"benzyna";2011;"czarny-metallic";"";"";"manualna"
21500;"PLN";21500;105;77;"Renault";"Grand Scenic";"";"4/5";1500;132000;"olej napedowy (diesel)";2006;"grafitowy-metallic";"Polska";"";"manualna"
81300;"PLN";81300;143;105;"Ford";"Ranger";"";"4/5";2500;NA;"olej napedowy (diesel)";2011;"czarny-metallic";"";"";"manualna"
99900;"PLN";99900;150;110;"Renault";"Koleos";"";"";NA;11310;"olej napedowy (diesel)";2011;"";"Polska";"Polska";""
10500;"PLN";10500;100;74;"Renault";"Scenic Conquest";"";"4/5";1870;160000;"olej napedowy (diesel)";1999;"";"Polska";"Niemcy";"manualna"
75000;"CZK";12832,5;82;60;"Opel";"Zafira";"";"4/5";1995;256420;"olej napedowy (diesel)";2000;"czerwony-metallic";"";"Niemcy";"manualna"
27900;"PLN";27900;75;55;"Opel";"Corsa";"D";"4/5";1248;NA;"olej napedowy (diesel)";2007;"srebrny-metallic";"Polska";"Polska";"manualna"
31100;"PLN";31100;NA;NA;"Opel";"Astra";"III";"4/5";1686;59615;"olej napedowy (diesel)";2008;"";"Polska";"";"manualna"
3450;"PLN";3450;NA;NA;"Renault";"Megane";"I";"4/5";1600;195000;"benzyna";1999;"";"";"";"manualna"
6900;"PLN";6900;115;85;"Renault";"Laguna";"I";"4/5";1988;131000;"benzyna";1999;"granatowy-metallic";"";"Niemcy";"automatyczna"
12900;"PLN";12900;120;88;"Renault";"Laguna";"II";"4/5";1870;119000;"olej napedowy (diesel)";2001;"szary-metallic";"";"Niemcy";"manualna"
12500;"PLN";12500;107;79;"Renault";"Scenic";"I";"4/5";1600;137000;"benzyna";2003;"srebrny-metallic";"";"Niemcy";"manualna"
61200;"PLN";61200;140;103;"Opel";"Insignia";"";"4/5";1798;19428;"benzyna";2011;"czarny-metallic";"Polska";"";"manualna"
2000;"PLN";2000;71;52;"Opel";"Vectra";"A";"4/5";1598;184000;"benzyna";1994;"zielony-metallic";"Polska";"";"manualna"
1600;"PLN";1600;115;85;"Ford";"Mondeo";"Mk1";"4/5";1796;183849;"benzyna";1995;"bordowy";"";"";"manualna"
38990;"PLN";38990;150;110;"Opel";"Vectra";"C";"4/5";1910;123200;"olej napedowy (diesel)";2007;"czarny-metallic";"Polska";"";"manualna"
5300;"PLN";5300;65;48;"Opel";"Corsa";"B";"2/3";1199;176000;"benzyna";1998;"zielony-metallic";"";"Niemcy";"manualna"
32900;"PLN";32900;101;74;"Opel";"Zafira";"B";"4/5";1900;160000;"olej napedowy (diesel)";2007;"grafitowy-metallic";"Polska";"";"manualna"
17600;"PLN";17600;204;150;"Ford";"Galaxy";"Mk2";"4/5";2800;149000;"benzyna+LPG";2001;"srebrny-metallic";"";"Wlochy";"automatyczna"
16300;"PLN";16300;100;74;"Opel";"Astra";"III";"4/5";1686;189000;"olej napedowy (diesel)";2004;"zloty-metallic";"Polska";"Polska";"manualna"
36900;"PLN";36900;130;96;"Ford";"Galaxy";"Mk2";"4/5";1896;204000;"olej napedowy (diesel)";2004;"srebrny-metallic";"Polska";"Polska";"manualna"
29500;"PLN";29500;68;50;"Ford";"Fusion";"";"4/5";1400;71700;"olej napedowy (diesel)";2009;"granatowy";"Polska";"Polska";"manualna"
9500;"PLN";9500;75;55;"Renault";"Clio";"II";"4/5";1200;114000;"benzyna";2002;"";"";"";"manualna"
2300;"PLN";2300;NA;NA;"Renault";"Kangoo";"I";"4/5";1400;NA;"benzyna";1999;"";"";"";"manualna"
27900;"PLN";27900;NA;NA;"Ford";"C-MAX";"";"4/5";1800;NA;"olej napedowy (diesel)";2006;"";"";"";"manualna"
9000;"PLN";9000;75;55;"Opel";"Astra";"II";"4/5";1598;171000;"benzyna";1999;"";"";"Niemcy";"manualna"
49900;"PLN";49900;115;85;"Opel";"Astra";"III";"4/5";1589;NA;"benzyna";2011;"grafitowy-metallic";"";"";"manualna"
19700;"PLN";19700;101;74;"Opel";"Zafira";"A";"4/5";1995;207450;"olej napedowy (diesel)";2004;"granatowy";"Polska";"";"manualna"
16900;"PLN";16900;115;85;"Opel";"Frontera";"B";"4/5";2171;215000;"olej napedowy (diesel)";1999;"niebieski-metallic";"Polska";"Holandia";"automatyczna"
12700;"PLN";12700;90;66;"Ford";"Galaxy";"Mk1";"4/5";1896;190889;"olej napedowy (diesel)";1998;"niebieski-metallic";"Polska";"";"manualna"
35500;"PLN";35500;75;55;"Renault";"Clio";"III";"4/5";1461;35000;"olej napedowy (diesel)";2010;"srebrny-metallic";"Polska";"Polska";"manualna"
22900;"PLN";22900;NA;NA;"Renault";"Grand Scenic";"";"4/5";1900;132000;"olej napedowy (diesel)";2004;"szary-metallic";"";"";"manualna"
79900;"CZK";13670,89;107;79;"Renault";"Scenic";"";"4/5";1598;129000;"benzyna";2002;"";"";"Niemcy";"manualna"
58900;"PLN";58900;110;81;"Ford";"Transit";"";"4/5";2200;119000;"olej napedowy (diesel)";2008;"bialy";"";"";"manualna"
13800;"PLN";13800;100;74;"Ford";"Focus";"Mk1";"4/5";1753;212000;"olej napedowy (diesel)";2002;"";"";"";"manualna"
26500;"PLN";26500;150;110;"Opel";"Vectra";"C";"4/5";1900;81000;"olej napedowy (diesel)";2007;"srebrny-metallic";"";"";"manualna"
9800;"PLN";9800;90;66;"Ford";"Focus";"Mk1";"4/5";1753;174000;"olej napedowy (diesel)";2001;"granatowy-metallic";"Polska";"Niemcy";"manualna"
1399000;"HUF";19860,204;120;88;"Renault";"Laguna";"";"4/5";1870;184500;"olej napedowy (diesel)";2001;"zielony-metallic";"";"";"manualna"
20900;"PLN";20900;115;85;"Ford";"Focus";"Mk2";"4/5";1753;142000;"olej napedowy (diesel)";2005;"";"Polska";"Polska";"manualna"
10900;"PLN";10900;115;85;"Ford";"Mondeo";"Mk3";"4/5";1998;185000;"benzyna";2001;"zielony-metallic";"";"";"manualna"
15800;"PLN";15800;100;74;"Ford";"Focus";"Mk1";"4/5";1800;164000;"olej napedowy (diesel)";2004;"srebrny-metallic";"";"Niemcy";"manualna"
14500;"PLN";14500;167;123;"Opel";"Astra";"I";"2/3";1998;NA;"benzyna";1992;"bialy";"Polska";"Polska";"manualna"
24900;"PLN";24900;90;66;"Opel";"Astra";"II";"4/5";1400;97000;"benzyna";2006;"";"Polska";"";"manualna"
13500;"PLN";13500;60;44;"Opel";"Corsa";"C";"2/3";998;25000;"benzyna";2005;"zielony";"Polska";"";"manualna"
4500;"PLN";4500;110;81;"Renault";"Scenic";"I";"4/5";1600;140000;"benzyna";2001;"";"";"";"manualna"
24900;"PLN";24900;115;85;"Ford";"Focus";"Mk2";"4/5";1800;1e+05;"olej napedowy (diesel)";2008;"srebrny-metallic";"";"Polska";"manualna"
2350;"PLN";2350;NA;NA;"Renault";"19";"II";"4/5";1397;NA;"benzyna+LPG";1993;"";"";"";"manualna"
21900;"PLN";21900;69;51;"Ford";"KA";"";"2/3";1242;46000;"benzyna";2009;"";"Polska";"Polska";"manualna"
44800;"PLN";44800;140;103;"Ford";"Mondeo";"Mk4";"4/5";2000;1e+05;"olej napedowy (diesel)";2008;"czarny-metallic";"";"Francja";"manualna"
32700;"PLN";32700;150;110;"Opel";"Astra";"III";"4/5";1910;160000;"olej napedowy (diesel)";2008;"srebrny-metallic";"Polska";"";"manualna"
4500;"PLN";4500;115;85;"Opel";"Vectra";"A";"4/5";1998;260000;"benzyna+LPG";1993;"bordowy-metallic";"Polska";"Niemcy";"manualna"
34900;"PLN";34900;100;74;"Opel";"Astra";"III";"4/5";1686;144000;"olej napedowy (diesel)";2007;"szary-metallic";"Polska";"Belgia";"manualna"
21900;"PLN";21900;101;74;"Opel";"Vectra";"C";"4/5";2000;180000;"olej napedowy (diesel)";2004;"bialy-metallic";"Polska";"";"manualna"
29900;"PLN";29900;NA;NA;"Ford";"Fiesta";"";"4/5";1600;59000;"olej napedowy (diesel)";2009;"";"";"";"manualna"
3200;"PLN";3200;NA;NA;"Ford";"KA";"";"2/3";1300;NA;"benzyna";1996;"niebieski";"Polska";"";"manualna"
18900;"PLN";18900;NA;NA;"Opel";"Combo";"";"4/5";1300;90000;"olej napedowy (diesel)";2008;"granatowy";"Polska";"Polska";"manualna"
23500;"PLN";23500;115;85;"Ford";"Mondeo";"Mk3";"4/5";1998;150;"olej napedowy (diesel)";2006;"srebrny-metallic";"Polska";"";"manualna"
6500;"PLN";6500;NA;NA;"Renault";"Scenic";"I";"4/5";1400;NA;"benzyna";2000;"szary-metallic";"";"";"manualna"
18400;"PLN";18400;130;96;"Ford";"Mondeo";"Mk3";"4/5";1998;147600;"olej napedowy (diesel)";2005;"czarny-metallic";"";"";"manualna"
16400;"PLN";16400;82;60;"Renault";"Megane";"II";"4/5";1461;160000;"olej napedowy (diesel)";2005;"szary-metallic";"";"";"manualna"
4900;"PLN";4900;NA;NA;"Renault";"Scenic";"I";"4/5";1998;120000;"benzyna";1998;"zielony-metallic";"";"Niemcy";"automatyczna"
19000;"PLN";19000;125;92;"Ford";"Focus";"Mk2";"4/5";1790;21559;"benzyna";2008;"";"Szwecja";"Niemcy";"manualna"
20900;"PLN";20900;NA;NA;"Renault";"Grand Scenic";"";"4/5";NA;NA;"olej napedowy (diesel)";2004;"";"";"";"manualna"
22300;"PLN";22300;80;59;"Opel";"Astra";"III";"4/5";1686;139000;"olej napedowy (diesel)";2004;"";"";"";"manualna"
17800;"PLN";17800;120;88;"Renault";"Scenic";"II";"4/5";1870;172521;"olej napedowy (diesel)";2003;"szary-metallic";"";"";"manualna"
3500;"PLN";3500;68;50;"Opel";"Astra";"I";"4/5";1400;195000;"";1998;"granatowy-metallic";"";"Polska";"manualna"
15600;"PLN";15600;85;63;"Ford";"Transit";"";"4/5";NA;31000;"olej napedowy (diesel)";2005;"bialy";"";"Polska";"manualna"
68750;"PLN";68750;110;81;"Renault";"Scenic";"II";"4/5";1598;4;"benzyna";2011;"bialy";"";"";"manualna"
11600;"PLN";11600;115;85;"Ford";"Mondeo";"Mk3";"4/5";2000;178000;"olej napedowy (diesel)";2001;"srebrny-metallic";"Polska";"Polska";"manualna"
37500;"PLN";37500;136;100;"Ford";"C-MAX";"";"4/5";1997;151000;"olej napedowy (diesel)";2007;"srebrny-metallic";"";"";"manualna"
28000;"CZK";4790,8;60;44;"Ford";"KA";"";"2/3";1299;57000;"benzyna";1999;"zielony-metallic";"";"";"manualna"
31600;"PLN";31600;130;96;"Renault";"Scenic";"II";"4/5";1900;129000;"olej napedowy (diesel)";2008;"grafitowy-metallic";"Polska";"Francja";"manualna"
10300;"PLN";10300;NA;NA;"Opel";"Astra";"II";"4/5";1400;165000;"benzyna";2001;"zielony-metallic";"Polska";"Polska";"manualna"
16900;"PLN";16900;70;51;"Renault";"Clio";"III";"2/3";1500;NA;"olej napedowy (diesel)";2006;"srebrny-metallic";"Polska";"";"manualna"
6300;"PLN";6300;90;66;"Opel";"Tigra";"I";"2/3";1389;177000;"benzyna";1998;"czarny-metallic";"";"Niemcy";"manualna"
68900;"PLN";68900;110;81;"Renault";"Fluence";"";"4/5";1461;NA;"olej napedowy (diesel)";2011;"bezowy-metallic";"";"";"manualna"
18900;"PLN";18900;120;88;"Renault";"Grand Scenic";"";"4/5";1900;190000;"olej napedowy (diesel)";2004;"srebrny-metallic";"Polska";"Niemcy";"manualna"
38500;"PLN";38500;110;81;"Renault";"Laguna";"III";"4/5";1500;162000;"olej napedowy (diesel)";2008;"niebieski-metallic";"Polska";"Francja";"manualna"
24900;"PLN";24900;NA;NA;"Renault";"Grand Scenic";"";"4/5";1500;141000;"olej napedowy (diesel)";2005;"czarny-metallic";"Polska";"";"manualna"
15900;"PLN";15900;120;88;"Renault";"Scenic";"II";"4/5";1870;135000;"olej napedowy (diesel)";2004;"bialy";"";"";"manualna"
16300;"PLN";16300;101;74;"Renault";"Laguna";"II";"4/5";1900;185600;"olej napedowy (diesel)";2004;"";"";"Niemcy";"manualna"
4990;"PLN";4990;45;33;"Opel";"Corsa";"B";"2/3";1195;153000;"benzyna";1995;"niebieski-metallic";"Polska";"Niemcy";"manualna"
329000;"CZK";56291,9;205;151;"Ford";"Mustang";"";"2/3";4009;38616;"benzyna";2007;"niebieski-metallic";"";"Niemcy";"automatyczna"
25900;"PLN";25900;100;74;"Opel";"Astra";"III";"4/5";1686;125000;"olej napedowy (diesel)";2007;"czarny-metallic";"";"";"manualna"
8700;"PLN";8700;98;72;"Renault";"Thalia";"";"4/5";1390;131000;"benzyna";2001;"niebieski-metallic";"Polska";"Polska";"manualna"
25500;"PLN";25500;115;85;"Ford";"Mondeo";"Mk3";"4/5";1998;172000;"olej napedowy (diesel)";2007;"czarny";"Polska";"Niemcy";"manualna"
15000;"PLN";15000;100;74;"Opel";"Astra";"II";"4/5";1598;108000;"benzyna+CNG";2003;"srebrny-metallic";"";"";"manualna"
11900;"PLN";11900;130;96;"Ford";"Mondeo";"Mk3";"4/5";1998;217000;"olej napedowy (diesel)";2002;"";"Polska";"Niemcy";"manualna"
28600;"PLN";28600;120;88;"Renault";"Megane";"II";"2/3";1900;165000;"olej napedowy (diesel)";2004;"niebieski-metallic";"Polska";"Austria";"manualna"
43980;"PLN";43980;125;92;"Ford";"Mondeo";"Mk4";"4/5";1800;120000;"olej napedowy (diesel)";2008;"granatowy-metallic";"Polska";"";"manualna"
30900;"PLN";30900;120;88;"Opel";"Vectra";"C";"4/5";1910;138000;"olej napedowy (diesel)";2006;"granatowy-metallic";"";"Belgia";"manualna"
10900;"PLN";10900;120;88;"Renault";"Laguna";"II";"4/5";1870;2e+05;"olej napedowy (diesel)";2003;"";"";"";"manualna"
165834;"CZK";28374,1974;101;74;"Ford";"Focus";"";"4/5";1596;99532;"benzyna";2008;"czerwony";"";"Czechy";"manualna"
6900;"PLN";6900;NA;NA;"Ford";"Cougar";"";"2/3";2500;NA;"benzyna";1998;"srebrny-metallic";"Polska";"";"manualna"
4900;"PLN";4900;90;66;"Ford";"Mondeo";"Mk2";"4/5";1753;240000;"olej napedowy (diesel)";1997;"zielony-metallic";"Polska";"Niemcy";"manualna"
11900;"PLN";11900;101;74;"Ford";"Focus";"Mk1";"4/5";1600;175000;"benzyna";2003;"srebrny-metallic";"";"";"manualna"
58000;"PLN";58000;NA;NA;"Renault";"Clio";"III";"2/3";1997;35000;"benzyna";2009;"";"Polska";"";"manualna"
12900;"PLN";12900;90;66;"Ford";"Focus";"Mk1";"4/5";1800;158000;"olej napedowy (diesel)";2002;"grafitowy-metallic";"";"";"manualna"
70900;"PLN";70900;145;107;"Ford";"Mondeo";"Mk4";"4/5";1998;5;"benzyna";2011;"granatowy";"";"";"manualna"
31499;"PLN";31499;109;80;"Ford";"Focus";"Mk2";"4/5";1560;NA;"olej napedowy (diesel)";2008;"czarny-metallic";"Polska";"Holandia";"manualna"
12990;"PLN";12990;100;74;"Ford";"Focus";"Mk1";"4/5";1596;159000;"benzyna";2001;"niebieski";"";"";"manualna"
28900;"PLN";28900;90;66;"Opel";"Astra";"III";"4/5";1364;161000;"benzyna";2007;"";"Polska";"Polska";"manualna"
3000;"EUR";13250,4;105;77;"Renault";"Fluence";"";"4/5";1461;4500;"olej napedowy (diesel)";2010;"";"";"";"manualna"
28500;"PLN";28500;115;85;"Opel";"Astra";"III";"2/3";1598;61000;"benzyna";2008;"granatowy-metallic";"Polska";"Niemcy";"manualna"
11900;"PLN";11900;101;74;"Opel";"Zafira";"A";"4/5";1600;189000;"benzyna";1999;"zielony";"Niemcy";"Niemcy";"manualna"
99900;"CZK";17092,89;80;59;"Opel";"Corsa";"";"4/5";1229;33000;"benzyna";2004;"czerwony";"";"Czechy";"manualna"
117999;"CZK";20189,6289;109;80;"Ford";"Focus";"";"4/5";1560;129800;"olej napedowy (diesel)";2006;"srebrny-metallic";"";"Niemcy";"manualna"
