"Name","Codename","Cores","Socket","Process","Clock","Multi","Voltage","Cache.L1.L2.L3","TDP","Released","Manufacturer","Classification"
"Celeron G1840","Haswell","2-Core","Intel Socket 1150","22 nm","2800 MHz","28.0x","unknown","64K / 256K / 3072K","54W","May 2014","INTEL","Desktop"
"Core i7-4790S","Haswell","4-Core","Intel Socket 1150","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 8192K","65W","May 2014","INTEL","Desktop"
"Core i5-4590S","Haswell","4-Core","Intel Socket 1150","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 6144K","65W","May 2014","INTEL","Desktop"
"Core i3-4150T","Haswell","2-Core","Intel Socket 1150","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 3072K","35W","May 2014","INTEL","Desktop"
"Core i7-4790K","Devils Canyon","4-Core","Intel Socket 1150","22 nm","4000 MHz","40.0x","unknown","64K / 256K / 8192K","88W","May 2014","INTEL","Desktop"
"Core i3-4350","Haswell","2-Core","Intel Socket 1150","22 nm","3600 MHz","36.0x","unknown","64K / 256K / 4096K","54W","May 2014","INTEL","Desktop"
"Pentium G3440","Haswell","2-Core","Intel Socket 1150","22 nm","3300 MHz","33.0x","unknown","64K / 256K / 3072K","54W","May 2014","INTEL","Desktop"
"Celeron G1850","Haswell","2-Core","Intel Socket 1150","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 3072K","54W","May 2014","INTEL","Desktop"
"Celeron G1830","Haswell","2-Core","Intel Socket 1150","22 nm","2800 MHz","28.0x","unknown","64K / 256K / 3072K","54W","Dec 2013","INTEL","Desktop"
"Celeron G1820","Haswell","2-Core","Intel Socket 1150","22 nm","2700 MHz","27.0x","unknown","64K / 256K / 3072K","54W","Dec 2013","INTEL","Desktop"
"Celeron G1820T","Haswell","2-Core","Intel Socket 1150","22 nm","2400 MHz","24.0x","unknown","64K / 256K / 3072K","54W","Dec 2013","INTEL","Desktop"
"Celeron G1820TE","Haswell","2-Core","Intel Socket 1150","22 nm","2200 MHz","22.0x","unknown","64K / 256K / 3072K","54W","Dec 2013","INTEL","Desktop"
"Core i7-4960X","Ivy Bridge-E","6-Core","Intel Socket 2011","22 nm","3600 MHz","36.0x","1.35 V","64K / 256K / 15360K","130W","Sep 2013","INTEL","Desktop"
"Core i7-4930K","Ivy Bridge-E","6-Core","Intel Socket 2011","22 nm","3400 MHz","34.0x","1.35 V","64K / 256K / 12288K","130W","Sep 2013","INTEL","Desktop"
"Core i7-4820K","Ivy Bridge-E","4-Core","Intel Socket 2011","22 nm","3700 MHz","37.0x","1.35 V","64K / 256K / 10240K","130W","Sep 2013","INTEL","Desktop"
"Core i7-4771","Haswell","4-Core","Intel Socket 1150","22 nm","3500 MHz","35.0x","unknown","64K / 256K / 8192K","84W","Sep 2013","INTEL","Desktop"
"Core i3-4340","Haswell","2-Core","Intel Socket 1150","22 nm","3600 MHz","36.0x","unknown","64K / 256K / 4096K","54W","Sep 2013","INTEL","Desktop"
"Core i3-4330","Haswell","2-Core","Intel Socket 1150","22 nm","3500 MHz","35.0x","unknown","64K / 256K / 4096K","54W","Sep 2013","INTEL","Desktop"
"Core i3-4330T","Haswell","2-Core","Intel Socket 1150","22 nm","3000 MHz","30.0x","unknown","64K / 256K / 4096K","35W","Sep 2013","INTEL","Desktop"
"Core i3-4130T","Haswell","2-Core","Intel Socket 1150","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 3072K","35W","Sep 2013","INTEL","Desktop"
"Core i3-4130","Haswell","2-Core","Intel Socket 1150","22 nm","3400 MHz","34.0x","unknown","64K / 256K / 3072K","54W","Sep 2013","INTEL","Desktop"
"Pentium G3430","Haswell","2-Core","Intel Socket 1150","22 nm","3300 MHz","33.0x","unknown","64K / 256K / 3072K","54W","Sep 2013","INTEL","Desktop"
"Pentium G3420","Haswell","2-Core","Intel Socket 1150","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 3072K","54W","Sep 2013","INTEL","Desktop"
"Pentium G3420T","Haswell","2-Core","Intel Socket 1150","22 nm","2700 MHz","27.0x","unknown","64K / 256K / 3072K","35W","Sep 2013","INTEL","Desktop"
"Pentium G3220","Haswell","2-Core","Intel Socket 1150","22 nm","3000 MHz","30.0x","unknown","64K / 256K / 3072K","54W","Sep 2013","INTEL","Desktop"
"Core i5-4440","Haswell","4-Core","Intel Socket 1150","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 6144K","84W","Sep 2013","INTEL","Desktop"
"Core i5-4440S","Haswell","4-Core","Intel Socket 1150","22 nm","2800 MHz","28.0x","unknown","64K / 256K / 6144K","65W","Sep 2013","INTEL","Desktop"
"Pentium G3220T","Haswell","2-Core","Intel Socket 1150","22 nm","2600 MHz","26.0x","unknown","64K / 256K / 3072K","35W","Sep 2013","INTEL","Desktop"
"Celeron G1630","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2800 MHz","28.0x","unknown","64K / 256K / 2048K","55W","Sep 2013","INTEL","Desktop"
"Celeron G1620T","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2400 MHz","24.0x","unknown","64K / 256K / 2048K","35W","Sep 2013","INTEL","Desktop"
"Core i7-3910K","Sandy Bridge-E","6-Core","Intel Socket 2011","32 nm","3000 MHz","30.0x","1.35 V","64K / 256K / 12288K","130W","Jul 2013","INTEL","Desktop"
"Core i7-4770R","Haswell","4-Core","Intel BGA1364","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 6144K","65W","Jun 2013","INTEL","Desktop"
"Core i5-4670R","Haswell","4-Core","Intel BGA1364","22 nm","3000 MHz","30.0x","unknown","64K / 256K / 4096K","65W","Jun 2013","INTEL","Desktop"
"Core i5-4570R","Haswell","4-Core","Intel BGA1364","22 nm","2700 MHz","27.0x","unknown","64K / 256K / 4096K","65W","Jun 2013","INTEL","Desktop"
"Core i5-4570TE","Haswell","2-Core","Intel Socket 1150","22 nm","2700 MHz","27.0x","unknown","64K / 256K / 4096K","35W","Jun 2013","INTEL","Desktop"
"Core i7-4770TE","Haswell","4-Core","Intel Socket 1150","22 nm","2300 MHz","23.0x","unknown","64K / 256K / 8192K","45W","Jun 2013","INTEL","Desktop"
"Core i7-4770K","Haswell","4-Core","Intel Socket 1150","22 nm","3500 MHz","35.0x","unknown","64K / 256K / 8192K","84W","Jun 2013","INTEL","Desktop"
"Core i5-4670K","Haswell","4-Core","Intel Socket 1150","22 nm","3400 MHz","34.0x","unknown","64K / 256K / 6144K","84W","Jun 2013","INTEL","Desktop"
"Core i5-4430","Haswell","4-Core","Intel Socket 1150","22 nm","3000 MHz","30.0x","unknown","64K / 256K / 6144K","84W","Jun 2013","INTEL","Desktop"
"Core i5-4430S","Haswell","4-Core","Intel Socket 1150","22 nm","2700 MHz","27.0x","unknown","64K / 256K / 6144K","65W","Jun 2013","INTEL","Desktop"
"Core i5-4570T","Haswell","2-Core","Intel Socket 1150","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 4096K","35W","Jun 2013","INTEL","Desktop"
"Core i7-4770","Haswell","4-Core","Intel Socket 1150","22 nm","3400 MHz","34.0x","unknown","64K / 256K / 8192K","84W","Jun 2013","INTEL","Desktop"
"Core i7-4770S","Haswell","4-Core","Intel Socket 1150","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 8192K","65W","Jun 2013","INTEL","Desktop"
"Core i7-4770T","Haswell","4-Core","Intel Socket 1150","22 nm","2500 MHz","25.0x","unknown","64K / 256K / 8192K","45W","Jun 2013","INTEL","Desktop"
"Core i7-4765T","Haswell","4-Core","Intel Socket 1150","22 nm","2000 MHz","20.0x","unknown","64K / 256K / 8192K","35W","Jun 2013","INTEL","Desktop"
"Core i5-4670","Haswell","4-Core","Intel Socket 1150","22 nm","3400 MHz","34.0x","unknown","64K / 256K / 6144K","84W","Jun 2013","INTEL","Desktop"
"Core i5-4570","Haswell","4-Core","Intel Socket 1150","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 6144K","84W","Jun 2013","INTEL","Desktop"
"Core i5-4670S","Haswell","4-Core","Intel Socket 1150","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 6144K","65W","Jun 2013","INTEL","Desktop"
"Core i5-4670T","Haswell","4-Core","Intel Socket 1150","22 nm","2300 MHz","23.0x","unknown","64K / 256K / 6144K","45W","Jun 2013","INTEL","Desktop"
"Core i5-4570S","Haswell","4-Core","Intel Socket 1150","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 6144K","65W","Jun 2013","INTEL","Desktop"
"Pentium G2020","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 3072K","55W","Jan 2013","INTEL","Desktop"
"Pentium G2010","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2800 MHz","28.0x","unknown","64K / 256K / 3072K","55W","Jan 2013","INTEL","Desktop"
"Pentium G2020T","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2500 MHz","25.0x","unknown","64K / 256K / 3072K","35W","Jan 2013","INTEL","Desktop"
"Pentium G2130","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 3072K","55W","Jan 2013","INTEL","Desktop"
"Core i3-3210","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 3072K","55W","Jan 2013","INTEL","Desktop"
"Celeron G1610","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2600 MHz","26.0x","unknown","64K / 256K / 2048K","55W","Dec 2012","INTEL","Desktop"
"Celeron G1620","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2700 MHz","27.0x","unknown","64K / 256K / 2048K","55W","Dec 2012","INTEL","Desktop"
"Celeron G1610T","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2300 MHz","23.0x","unknown","64K / 256K / 2048K","35W","Dec 2012","INTEL","Desktop"
"Core i7-3970X","Sandy Bridge-E","6-Core","Intel Socket 2011","32 nm","3500 MHz","35.0x","1.35 V","64K / 256K / 15360K","150W","Nov 2012","INTEL","Desktop"
"Core i5-3335S","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","2700 MHz","27.0x","unknown","64K / 256K / 6144K","65W","Nov 2012","INTEL","Desktop"
"Core i3-3225","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","3300 MHz","33.0x","unknown","64K / 256K / 3072K","55W","Sep 2012","INTEL","Desktop"
"Core i3-3220","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","3300 MHz","33.0x","unknown","64K / 256K / 3072K","55W","Sep 2012","INTEL","Desktop"
"Core i3-3240","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","3400 MHz","34.0x","unknown","64K / 256K / 3072K","55W","Sep 2012","INTEL","Desktop"
"Core i3-3220T","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2800 MHz","28.0x","unknown","64K / 256K / 3072K","35W","Sep 2012","INTEL","Desktop"
"Core i3-3240T","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","3000 MHz","30.0x","unknown","64K / 256K / 3072K","35W","Sep 2012","INTEL","Desktop"
"Core i5-3330","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3000 MHz","30.0x","unknown","64K / 256K / 6144K","77W","Sep 2012","INTEL","Desktop"
"Core i5-3330S","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","2700 MHz","27.0x","unknown","64K / 256K / 6144K","77W","Sep 2012","INTEL","Desktop"
"Core i5-3350P","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 6144K","69W","Sep 2012","INTEL","Desktop"
"Pentium G2120","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 3072K","55W","Sep 2012","INTEL","Desktop"
"Pentium G2100T","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2600 MHz","26.0x","unknown","64K / 256K / 3072K","35W","Sep 2012","INTEL","Desktop"
"Pentium G645","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2900 MHz","29.0x","unknown","64K / 256K / 3072K","65W","Sep 2012","INTEL","Desktop"
"Pentium G645T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2500 MHz","25.0x","unknown","64K / 256K / 3072K","35W","Sep 2012","INTEL","Desktop"
"Celeron G555","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2700 MHz","27.0x","unknown","64K / 256K / 2048K","65W","Sep 2012","INTEL","Desktop"
"Celeron G465","Sandy Bridge","1-Core","Intel Socket 1155","32 nm","1900 MHz","19.0x","unknown","64K / 256K / 1536K","35W","Sep 2012","INTEL","Desktop"
"Pentium G640","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2800 MHz","28.0x","unknown","64K / 256K / 3072K","65W","Jun 2012","INTEL","Desktop"
"Pentium G870","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","3100 MHz","31.0x","unknown","64K / 256K / 3072K","65W","Jun 2012","INTEL","Desktop"
"Pentium G640T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2400 MHz","24.0x","unknown","64K / 256K / 3072K","35W","Jun 2012","INTEL","Desktop"
"Pentium G860T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2600 MHz","26.0x","unknown","64K / 256K / 3072K","35W","Jun 2012","INTEL","Desktop"
"Core i5-3470","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 6144K","77W","Jun 2012","INTEL","Desktop"
"Core i5-3470S","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 6144K","65W","Jun 2012","INTEL","Desktop"
"Core i5-3470T","Ivy Bridge","2-Core","Intel Socket 1155","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 3072K","35W","Jun 2012","INTEL","Desktop"
"Core i5-3475S","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 6144K","65W","Jun 2012","INTEL","Desktop"
"Core i5-3570","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3400 MHz","34.0x","unknown","64K / 256K / 6144K","77W","Jun 2012","INTEL","Desktop"
"Core i5-3570S","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 6144K","65W","Jun 2012","INTEL","Desktop"
"Celeron G550","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2600 MHz","26.0x","unknown","64K / 256K / 2048K","65W","Jun 2012","INTEL","Desktop"
"Core i3-2115C","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2000 MHz","20.0x","unknown","64K / 256K / 3072K","65W","May 2012","INTEL","Desktop"
"Core i7-3770K","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3500 MHz","35.0x","1.025 V","64K / 256K / 8192K","77W","Apr 2012","INTEL","Desktop"
"Core i7-3770","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3400 MHz","34.0x","unknown","64K / 256K / 8192K","77W","Apr 2012","INTEL","Desktop"
"Core i7-3770S","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 8192K","65W","Apr 2012","INTEL","Desktop"
"Core i7-3770T","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","2500 MHz","25.0x","unknown","64K / 256K / 8192K","45W","Apr 2012","INTEL","Desktop"
"Core i5-3570K","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3400 MHz","34.0x","1.2 V","64K / 256K / 6144K","77W","Apr 2012","INTEL","Desktop"
"Core i5-3550","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3300 MHz","33.0x","unknown","64K / 256K / 6144K","77W","Apr 2012","INTEL","Desktop"
"Core i5-3550S","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3000 MHz","30.0x","unknown","64K / 256K / 6144K","65W","Apr 2012","INTEL","Desktop"
"Core i5-3570T","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","2300 MHz","23.0x","unknown","64K / 256K / 6144K","45W","Apr 2012","INTEL","Desktop"
"Core i5-3450","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 6144K","77W","Apr 2012","INTEL","Desktop"
"Core i5-3450S","Ivy Bridge","4-Core","Intel Socket 1155","22 nm","2800 MHz","28.0x","unknown","64K / 256K / 6144K","65W","Apr 2012","INTEL","Desktop"
"Core i7-3820","Sandy Bridge-E","4-Core","Intel Socket 2011","32 nm","3600 MHz","36.0x","1.35 V","64K / 256K / 10240K","130W","Feb 2012","INTEL","Desktop"
"Core i5-2550K","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3400 MHz","34.0x","unknown","64K / 256K / 6144K","95W","Jan 2012","INTEL","Desktop"
"Core i5-2450P","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3200 MHz","32.0x","unknown","64K / 256K / 6144K","95W","Jan 2012","INTEL","Desktop"
"Core i5-2380P","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3100 MHz","31.0x","unknown","64K / 256K / 6144K","95W","Jan 2012","INTEL","Desktop"
"Celeron G460","Sandy Bridge","1-Core","Intel Socket 1155","32 nm","1800 MHz","18.0x","unknown","64K / 256K / 1536K","35W","Dec 2011","INTEL","Desktop"
"Core i7-3960X","Sandy Bridge-E","6-Core","Intel Socket 2011","32 nm","3300 MHz","33.0x","1.35 V","64K / 256K / 15360K","130W","Nov 2011","INTEL","Desktop"
"Core i7-3930K","Sandy Bridge-E","6-Core","Intel Socket 2011","32 nm","3200 MHz","32.0x","1.35 V","64K / 256K / 12288K","130W","Nov 2011","INTEL","Desktop"
"Core i7-2700K","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3500 MHz","35.0x","unknown","64K / 256K / 8192K","95W","Oct 2011","INTEL","Desktop"
"Core i3-2130","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","3400 MHz","34.0x","unknown","64K / 256K / 3072K","65W","Sep 2011","INTEL","Desktop"
"Core i3-2125","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","3300 MHz","33.0x","unknown","64K / 256K / 3072K","65W","Sep 2011","INTEL","Desktop"
"Core i3-2120T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2600 MHz","26.0x","unknown","64K / 256K / 3072K","35W","Sep 2011","INTEL","Desktop"
"Core i5-2320","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3000 MHz","30.0x","unknown","64K / 256K / 6144K","95W","Sep 2011","INTEL","Desktop"
"Pentium G630","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2700 MHz","27.0x","unknown","64K / 256K / 3072K","65W","Sep 2011","INTEL","Desktop"
"Pentium G630T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2300 MHz","23.0x","unknown","64K / 256K / 3072K","35W","Sep 2011","INTEL","Desktop"
"Pentium G632","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2700 MHz","27.0x","unknown","64K / 256K / 3072K","65W","Sep 2011","INTEL","Desktop"
"Pentium G860","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","3000 MHz","30.0x","unknown","64K / 256K / 3072K","65W","Sep 2011","INTEL","Desktop"
"Celeron G530","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2400 MHz","24.0x","unknown","64K / 256K / 2048K","65W","Sep 2011","INTEL","Desktop"
"Celeron G540","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2500 MHz","25.0x","unknown","64K / 256K / 2048K","65W","Sep 2011","INTEL","Desktop"
"Celeron G530T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2000 MHz","20.0x","unknown","64K / 256K / 2048K","35W","Sep 2011","INTEL","Desktop"
"Celeron G440","Sandy Bridge","1-Core","Intel Socket 1155","32 nm","1600 MHz","16.0x","unknown","64K / 256K / 1024K","35W","Sep 2011","INTEL","Desktop"
"Celeron G540T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2100 MHz","21.0x","unknown","64K / 256K / 2048K","35W","Sep 2011","INTEL","Desktop"
"Celeron G550T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2200 MHz","22.0x","unknown","64K / 256K / 2048K","35W","Sep 2011","INTEL","Desktop"
"Core i7-980","Gulftown","6-Core","Intel Socket 1366","32 nm","3333 MHz","25.0x","1.3 V","64K / 256K / 12288K","130W","Jun 2011","INTEL","Desktop"
"Core i3-2102","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","3100 MHz","31.0x","unknown","64K / 256K / 3072K","65W","Jun 2011","INTEL","Desktop"
"Pentium G620","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2600 MHz","26.0x","unknown","64K / 256K / 3072K","65W","May 2011","INTEL","Desktop"
"Pentium G620T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2200 MHz","22.0x","unknown","64K / 256K / 3072K","35W","May 2011","INTEL","Desktop"
"Pentium G622","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2600 MHz","26.0x","unknown","64K / 256K / 3072K","65W","May 2011","INTEL","Desktop"
"Pentium G840","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2800 MHz","28.0x","unknown","64K / 256K / 3072K","65W","May 2011","INTEL","Desktop"
"Pentium G850","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2900 MHz","29.0x","unknown","64K / 256K / 3072K","65W","May 2011","INTEL","Desktop"
"Core i5-2405S","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","2500 MHz","25.0x","unknown","64K / 256K / 6144K","65W","May 2011","INTEL","Desktop"
"Core i5-2310","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","2900 MHz","29.0x","unknown","64K / 256K / 6144K","95W","May 2011","INTEL","Desktop"
"Core i3-2105","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","3100 MHz","31.0x","unknown","64K / 256K / 3072K","65W","May 2011","INTEL","Desktop"
"Core i7-990X","Gulftown","6-Core","Intel Socket 1366","32 nm","3466 MHz","26.0x","1.375 V","64K / 256K / 12288K","130W","Feb 2011","INTEL","Desktop"
"Core i5-2390T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2700 MHz","27.0x","unknown","64K / 256K / 3072K","35W","Feb 2011","INTEL","Desktop"
"Core i3-2100","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","3100 MHz","31.0x","unknown","64K / 256K / 3072K","65W","Feb 2011","INTEL","Desktop"
"Core i3-2100T","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","2500 MHz","25.0x","unknown","64K / 256K / 3072K","35W","Feb 2011","INTEL","Desktop"
"Core i3-2120","Sandy Bridge","2-Core","Intel Socket 1155","32 nm","3300 MHz","33.0x","unknown","64K / 256K / 3072K","65W","Feb 2011","INTEL","Desktop"
"Core i7-2600K","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3400 MHz","34.0x","unknown","64K / 256K / 8192K","95W","Jan 2011","INTEL","Desktop"
"Pentium G6960","Clarkdale","2-Core","Intel Socket 1156","32 nm","2933 MHz","22.0x","1.4 V","64K / 256K / 3072K","73W","Jan 2011","INTEL","Desktop"
"Core i7-2600","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3400 MHz","34.0x","unknown","64K / 256K / 8192K","95W","Jan 2011","INTEL","Desktop"
"Core i5-2500K","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3300 MHz","33.0x","unknown","64K / 256K / 6144K","95W","Jan 2011","INTEL","Desktop"
"Core i5-2500","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","3300 MHz","33.0x","unknown","64K / 256K / 6144K","95W","Jan 2011","INTEL","Desktop"
"Core i5-2500S","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","2700 MHz","27.0x","unknown","64K / 256K / 6144K","65W","Jan 2011","INTEL","Desktop"
"Core i7-2600S","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","2800 MHz","28.0x","unknown","64K / 256K / 8192K","65W","Jan 2011","INTEL","Desktop"
"Core i5-2500T","Sandy Bridge","4-Core","Intel Socket 1155","32 nm","2300 MHz","23.0x","unknown","64K / 256K / 6144K","45W","Jan 2011","INTEL","Desktop"
